"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","word","type","question_order"
"true","1088","fullscreen","0","null","2092","p0kqwtb8qfg","jaguar","","","","",""
"","33292","html-keyboard-response","1","2.0.0","35387","p0kqwtb8qfg","jaguar","Welcome to the Fasle Recall Experiment.<p>You will see and listen to 6 lists of 12-words one at a time. Try to remember as many as you can.</p><p>After the list, you’ll be asked to complete a recognition test.</p><p>Press any key to begin.</p>","s","","",""
"","2724","survey-text","2","2.0.0","38127","p0kqwtb8qfg","jaguar","","{""participant_id"":""jaguar""}","","",""
"","null","html-keyboard-response","3","2.0.0","40131","p0kqwtb8qfg","jaguar","<h3>List 1 </h3>","null","","",""
"","null","html-keyboard-response","4","2.0.0","41133","p0kqwtb8qfg","jaguar","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","5","2.0.0","42635","p0kqwtb8qfg","jaguar","<p>jam</p>","null","","",""
"","null","html-keyboard-response","6","2.0.0","43638","p0kqwtb8qfg","jaguar","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","7","2.0.0","45141","p0kqwtb8qfg","jaguar","<p>slice</p>","null","","",""
"","null","html-keyboard-response","8","2.0.0","46143","p0kqwtb8qfg","jaguar","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","9","2.0.0","47646","p0kqwtb8qfg","jaguar","<p>butter</p>","null","","",""
"","null","html-keyboard-response","10","2.0.0","48649","p0kqwtb8qfg","jaguar","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","11","2.0.0","50151","p0kqwtb8qfg","jaguar","<p>flour</p>","null","","",""
"","null","html-keyboard-response","12","2.0.0","51154","p0kqwtb8qfg","jaguar","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","13","2.0.0","52656","p0kqwtb8qfg","jaguar","<p>food</p>","null","","",""
"","null","html-keyboard-response","14","2.0.0","53659","p0kqwtb8qfg","jaguar","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","15","2.0.0","55161","p0kqwtb8qfg","jaguar","<p>milk</p>","null","","",""
"","null","html-keyboard-response","16","2.0.0","56164","p0kqwtb8qfg","jaguar","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","17","2.0.0","57666","p0kqwtb8qfg","jaguar","<p>jelly</p>","null","","",""
"","null","html-keyboard-response","18","2.0.0","58668","p0kqwtb8qfg","jaguar","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","19","2.0.0","60171","p0kqwtb8qfg","jaguar","<p>crust</p>","null","","",""
"","null","html-keyboard-response","20","2.0.0","61173","p0kqwtb8qfg","jaguar","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","21","2.0.0","62676","p0kqwtb8qfg","jaguar","<p>dough</p>","null","","",""
"","null","html-keyboard-response","22","2.0.0","63678","p0kqwtb8qfg","jaguar","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","23","2.0.0","65181","p0kqwtb8qfg","jaguar","<p>sandwich</p>","null","","",""
