"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","word","type","question_order"
"true","1169","fullscreen","0","null","2187","p61ookep616","gorilla","","","","",""
"","10078","html-keyboard-response","1","2.0.0","12268","p61ookep616","gorilla","Welcome to the Fasle Recall Experiment.<p>You will see and listen to 6 lists of 12-words one at a time. Try to remember as many as you can.</p><p>After the list, you’ll be asked to complete a recognition test.</p><p>Press any key to begin.</p>"," ","","",""
"","5838","survey-text","2","2.0.0","18116","p61ookep616","gorilla","","{""participant_id"":""gorilla""}","","",""
"","null","html-keyboard-response","3","2.0.0","20125","p61ookep616","gorilla","<h3>List 1 </h3>","null","","",""
"","null","html-keyboard-response","4","2.0.0","21140","p61ookep616","gorilla","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","5","2.0.0","22648","p61ookep616","gorilla","<p>white</p>","null","","",""
"","null","html-keyboard-response","6","2.0.0","23664","p61ookep616","gorilla","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","7","2.0.0","25178","p61ookep616","gorilla","<p>charred</p>","null","","",""
"","null","html-keyboard-response","8","2.0.0","26195","p61ookep616","gorilla","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","9","2.0.0","27697","p61ookep616","gorilla","<p>bottom</p>","null","","",""
"","null","html-keyboard-response","10","2.0.0","28701","p61ookep616","gorilla","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","11","2.0.0","30209","p61ookep616","gorilla","<p>death</p>","null","","",""
"","null","html-keyboard-response","12","2.0.0","31218","p61ookep616","gorilla","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","13","2.0.0","32721","p61ookep616","gorilla","<p>cat</p>","null","","",""
"","null","html-keyboard-response","14","2.0.0","33723","p61ookep616","gorilla","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","15","2.0.0","35233","p61ookep616","gorilla","<p>grief</p>","null","","",""
"","null","html-keyboard-response","16","2.0.0","36242","p61ookep616","gorilla","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","17","2.0.0","37750","p61ookep616","gorilla","<p>color</p>","null","","",""
"","null","html-keyboard-response","18","2.0.0","38765","p61ookep616","gorilla","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","19","2.0.0","40278","p61ookep616","gorilla","<p>funeral</p>","null","","",""
"","null","html-keyboard-response","20","2.0.0","41293","p61ookep616","gorilla","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","21","2.0.0","42798","p61ookep616","gorilla","<p>ink</p>","null","","",""
"","null","html-keyboard-response","22","2.0.0","43814","p61ookep616","gorilla","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","23","2.0.0","45331","p61ookep616","gorilla","<p>blue</p>","null","","",""
"","null","html-keyboard-response","24","2.0.0","46346","p61ookep616","gorilla","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","25","2.0.0","47856","p61ookep616","gorilla","<p>night</p>","null","","",""
"","null","html-keyboard-response","26","2.0.0","48871","p61ookep616","gorilla","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","27","2.0.0","50378","p61ookep616","gorilla","<p>dark</p>","null","","",""
"","null","html-keyboard-response","28","2.0.0","52385","p61ookep616","gorilla","<h3>List 2 </h3>","null","","",""
"","null","html-keyboard-response","29","2.0.0","53400","p61ookep616","gorilla","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","30","2.0.0","54910","p61ookep616","gorilla","<p>frigid</p>","null","","",""
"","null","html-keyboard-response","31","2.0.0","55915","p61ookep616","gorilla","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","32","2.0.0","57429","p61ookep616","gorilla","<p>heat</p>","null","","",""
"","null","html-keyboard-response","33","2.0.0","58446","p61ookep616","gorilla","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","34","2.0.0","59953","p61ookep616","gorilla","<p>air</p>","null","","",""
"","null","html-keyboard-response","35","2.0.0","60956","p61ookep616","gorilla","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","36","2.0.0","62462","p61ookep616","gorilla","<p>warm</p>","null","","",""
"","null","html-keyboard-response","37","2.0.0","63464","p61ookep616","gorilla","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","38","2.0.0","64970","p61ookep616","gorilla","<p>winter</p>","null","","",""
"","null","html-keyboard-response","39","2.0.0","65976","p61ookep616","gorilla","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","40","2.0.0","67483","p61ookep616","gorilla","<p>weather</p>","null","","",""
"","null","html-keyboard-response","41","2.0.0","68490","p61ookep616","gorilla","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","42","2.0.0","69995","p61ookep616","gorilla","<p>hot</p>","null","","",""
