"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","word","type","question_order"
"true","2605","fullscreen","0","null","3613","pb25qkhc1hd","turtle","","","","",""
"","15877","html-keyboard-response","1","2.0.0","19494","pb25qkhc1hd","turtle","Welcome to the Fasle Recall Experiment.<p>You will see and listen to 6 lists of 12-words one at a time. Try to remember as many as you can.</p><p>After the list, you’ll be asked to complete a recognition test.</p><p>Press any key to begin.</p>"," ","","",""
"","4676","survey-text","2","2.0.0","24177","pb25qkhc1hd","turtle","","{""participant_id"":""turtle""}","","",""
"","null","html-keyboard-response","3","2.0.0","26181","pb25qkhc1hd","turtle","<h3>List 1 </h3>","null","","",""
"","null","html-keyboard-response","4","2.0.0","27184","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","5","2.0.0","28689","pb25qkhc1hd","turtle","<p>dark</p>","null","","",""
"","null","html-keyboard-response","6","2.0.0","29697","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","7","2.0.0","31204","pb25qkhc1hd","turtle","<p>white</p>","null","","",""
"","null","html-keyboard-response","8","2.0.0","32214","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","9","2.0.0","33717","pb25qkhc1hd","turtle","<p>night</p>","null","","",""
"","null","html-keyboard-response","10","2.0.0","34725","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","11","2.0.0","36231","pb25qkhc1hd","turtle","<p>bottom</p>","null","","",""
"","null","html-keyboard-response","12","2.0.0","37238","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","13","2.0.0","38744","pb25qkhc1hd","turtle","<p>blue</p>","null","","",""
"","null","html-keyboard-response","14","2.0.0","39749","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","15","2.0.0","41254","pb25qkhc1hd","turtle","<p>death</p>","null","","",""
"","null","html-keyboard-response","16","2.0.0","42258","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","17","2.0.0","43764","pb25qkhc1hd","turtle","<p>cat</p>","null","","",""
"","null","html-keyboard-response","18","2.0.0","44769","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","19","2.0.0","46276","pb25qkhc1hd","turtle","<p>charred</p>","null","","",""
"","null","html-keyboard-response","20","2.0.0","47280","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","21","2.0.0","48783","pb25qkhc1hd","turtle","<p>ink</p>","null","","",""
"","null","html-keyboard-response","22","2.0.0","49790","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","23","2.0.0","51296","pb25qkhc1hd","turtle","<p>grief</p>","null","","",""
"","null","html-keyboard-response","24","2.0.0","52304","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","25","2.0.0","53810","pb25qkhc1hd","turtle","<p>funeral</p>","null","","",""
"","null","html-keyboard-response","26","2.0.0","54816","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","27","2.0.0","56319","pb25qkhc1hd","turtle","<p>color</p>","null","","",""
"","null","html-keyboard-response","28","2.0.0","58322","pb25qkhc1hd","turtle","<h3>List 2 </h3>","null","","",""
"","null","html-keyboard-response","29","2.0.0","59329","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","30","2.0.0","60836","pb25qkhc1hd","turtle","<p>fear</p>","null","","",""
"","null","html-keyboard-response","31","2.0.0","61839","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","32","2.0.0","63344","pb25qkhc1hd","turtle","<p>fury</p>","null","","",""
"","null","html-keyboard-response","33","2.0.0","64348","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","34","2.0.0","65855","pb25qkhc1hd","turtle","<p>temper</p>","null","","",""
"","null","html-keyboard-response","35","2.0.0","66862","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","36","2.0.0","68368","pb25qkhc1hd","turtle","<p>fight</p>","null","","",""
"","null","html-keyboard-response","37","2.0.0","69374","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","38","2.0.0","70880","pb25qkhc1hd","turtle","<p>hate</p>","null","","",""
"","null","html-keyboard-response","39","2.0.0","71886","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","40","2.0.0","73393","pb25qkhc1hd","turtle","<p>ire</p>","null","","",""
"","null","html-keyboard-response","41","2.0.0","74398","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","42","2.0.0","75905","pb25qkhc1hd","turtle","<p>hatred</p>","null","","",""
"","null","html-keyboard-response","43","2.0.0","76910","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","44","2.0.0","78416","pb25qkhc1hd","turtle","<p>mad</p>","null","","",""
"","null","html-keyboard-response","45","2.0.0","79421","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","46","2.0.0","80927","pb25qkhc1hd","turtle","<p>wrath</p>","null","","",""
"","null","html-keyboard-response","47","2.0.0","81933","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","48","2.0.0","83436","pb25qkhc1hd","turtle","<p>mean</p>","null","","",""
"","null","html-keyboard-response","49","2.0.0","84442","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","50","2.0.0","85949","pb25qkhc1hd","turtle","<p>happy</p>","null","","",""
"","null","html-keyboard-response","51","2.0.0","86953","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","52","2.0.0","88461","pb25qkhc1hd","turtle","<p>rage</p>","null","","",""
"","null","html-keyboard-response","53","2.0.0","90468","pb25qkhc1hd","turtle","<h3>List 3 </h3>","null","","",""
"","null","html-keyboard-response","54","2.0.0","91472","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","55","2.0.0","92979","pb25qkhc1hd","turtle","<p>wood</p>","null","","",""
"","null","html-keyboard-response","56","2.0.0","93982","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","57","2.0.0","95485","pb25qkhc1hd","turtle","<p>legs</p>","null","","",""
"","null","html-keyboard-response","58","2.0.0","96486","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","59","2.0.0","97993","pb25qkhc1hd","turtle","<p>recliner</p>","null","","",""
"","null","html-keyboard-response","60","2.0.0","99000","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","61","2.0.0","100503","pb25qkhc1hd","turtle","<p>sit</p>","null","","",""
"","null","html-keyboard-response","62","2.0.0","101510","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","63","2.0.0","103016","pb25qkhc1hd","turtle","<p>swivel</p>","null","","",""
"","null","html-keyboard-response","64","2.0.0","104022","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","65","2.0.0","105528","pb25qkhc1hd","turtle","<p>sofa</p>","null","","",""
"","null","html-keyboard-response","66","2.0.0","106535","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","67","2.0.0","108042","pb25qkhc1hd","turtle","<p>cushion</p>","null","","",""
"","null","html-keyboard-response","68","2.0.0","109049","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","69","2.0.0","110553","pb25qkhc1hd","turtle","<p>couch</p>","null","","",""
"","null","html-keyboard-response","70","2.0.0","111560","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","71","2.0.0","113066","pb25qkhc1hd","turtle","<p>desk</p>","null","","",""
"","null","html-keyboard-response","72","2.0.0","114070","pb25qkhc1hd","turtle","<div style=""font-size:60px;"">+</div>","null","","",""
