"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","word","type","question_order"
"true","3951","fullscreen","0","null","4956","pbomzsx5uv0","penguin","","","","",""
"","65203","html-keyboard-response","1","2.0.0","70161","pbomzsx5uv0","penguin","Welcome to the Fasle Recall Experiment.<p>You will see and listen to 6 lists of 12-words one at a time. Try to remember as many as you can.</p><p>After the list, you’ll be asked to complete a recognition test.</p><p>Press any key to begin.</p>","AudioVolumeUp","","",""
"","5990","survey-text","2","2.0.0","76155","pbomzsx5uv0","penguin","","{""participant_id"":""penguin""}","","",""
"","null","html-keyboard-response","3","2.0.0","78157","pbomzsx5uv0","penguin","<h3>List 1 </h3>","null","","",""
"","null","html-keyboard-response","4","2.0.0","79165","pbomzsx5uv0","penguin","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","5","2.0.0","80677","pbomzsx5uv0","penguin","<p>winter</p>","null","","",""
"","null","html-keyboard-response","6","2.0.0","81683","pbomzsx5uv0","penguin","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","7","2.0.0","83199","pbomzsx5uv0","penguin","<p>weather</p>","null","","",""
"","null","html-keyboard-response","8","2.0.0","84209","pbomzsx5uv0","penguin","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","9","2.0.0","85716","pbomzsx5uv0","penguin","<p>air</p>","null","","",""
"","null","html-keyboard-response","10","2.0.0","86731","pbomzsx5uv0","penguin","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","11","2.0.0","88234","pbomzsx5uv0","penguin","<p>chilly</p>","null","","",""
"","null","html-keyboard-response","12","2.0.0","89252","pbomzsx5uv0","penguin","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","13","2.0.0","90755","pbomzsx5uv0","penguin","<p>wet</p>","null","","",""
"","null","html-keyboard-response","14","2.0.0","91772","pbomzsx5uv0","penguin","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","15","2.0.0","93285","pbomzsx5uv0","penguin","<p>ice</p>","null","","",""
"","null","html-keyboard-response","16","2.0.0","94299","pbomzsx5uv0","penguin","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","17","2.0.0","95813","pbomzsx5uv0","penguin","<p>warm</p>","null","","",""
"","null","html-keyboard-response","18","2.0.0","96827","pbomzsx5uv0","penguin","<div style=""font-size:60px;"">+</div>","null","","",""
