"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","word","type","question_order"
"true","1995","fullscreen","0","null","3000","pfovxblnuyb","nm","","","","",""
"","10969","html-keyboard-response","1","2.0.0","13972","pfovxblnuyb","nm","Welcome to the Fasle Recall Experiment.<p>You will see and listen to 6 lists of 12-words one at a time. Try to remember as many as you can.</p><p>After the list, you’ll be asked to complete a recognition test.</p><p>Press any key to begin.</p>"," ","","",""
"","2424","survey-text","2","2.0.0","16400","pfovxblnuyb","nm","","{""participant_id"":""nm""}","","",""
"","null","html-keyboard-response","3","2.0.0","18403","pfovxblnuyb","nm","<h3>List 1 </h3>","null","","",""
"","null","html-keyboard-response","4","2.0.0","19406","pfovxblnuyb","nm","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","5","2.0.0","20909","pfovxblnuyb","nm","<p>food</p>","null","","",""
"","null","html-keyboard-response","6","2.0.0","21911","pfovxblnuyb","nm","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","7","2.0.0","23414","pfovxblnuyb","nm","<p>slice</p>","null","","",""
"","null","html-keyboard-response","8","2.0.0","24416","pfovxblnuyb","nm","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","9","2.0.0","25919","pfovxblnuyb","nm","<p>jam</p>","null","","",""
"","null","html-keyboard-response","10","2.0.0","26922","pfovxblnuyb","nm","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","11","2.0.0","28425","pfovxblnuyb","nm","<p>rye</p>","null","","",""
"","null","html-keyboard-response","12","2.0.0","29428","pfovxblnuyb","nm","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","13","2.0.0","30931","pfovxblnuyb","nm","<p>butter</p>","null","","",""
"","null","html-keyboard-response","14","2.0.0","31934","pfovxblnuyb","nm","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","15","2.0.0","33437","pfovxblnuyb","nm","<p>flour</p>","null","","",""
"","null","html-keyboard-response","16","2.0.0","34441","pfovxblnuyb","nm","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","17","2.0.0","35943","pfovxblnuyb","nm","<p>dough</p>","null","","",""
"","null","html-keyboard-response","18","2.0.0","36946","pfovxblnuyb","nm","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","19","2.0.0","38449","pfovxblnuyb","nm","<p>sandwich</p>","null","","",""
"","null","html-keyboard-response","20","2.0.0","39452","pfovxblnuyb","nm","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","21","2.0.0","40954","pfovxblnuyb","nm","<p>crust</p>","null","","",""
"","null","html-keyboard-response","22","2.0.0","41958","pfovxblnuyb","nm","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","23","2.0.0","43459","pfovxblnuyb","nm","<p>milk</p>","null","","",""
"","null","html-keyboard-response","24","2.0.0","44462","pfovxblnuyb","nm","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","25","2.0.0","45964","pfovxblnuyb","nm","<p>jelly</p>","null","","",""
"","null","html-keyboard-response","26","2.0.0","46967","pfovxblnuyb","nm","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","27","2.0.0","48469","pfovxblnuyb","nm","<p>eat</p>","null","","",""
"","null","html-keyboard-response","28","2.0.0","50472","pfovxblnuyb","nm","<h3>List 2 </h3>","null","","",""
"","null","html-keyboard-response","29","2.0.0","51475","pfovxblnuyb","nm","<div style=""font-size:60px;"">+</div>","null","","",""
