"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","word","type","question_order"
"true","1734","fullscreen","0","null","2853","pfpve9os644","camel","","","","",""
"","139330","html-keyboard-response","1","2.0.0","142186","pfpve9os644","camel","Welcome to the Fasle Recall Experiment.<p>You will see and listen to 6 lists of 12-words one at a time. Try to remember as many as you can.</p><p>After the list, you’ll be asked to complete a recognition test.</p><p>Press any key to begin.</p>"," ","","",""
"","1392","survey-text","2","2.0.0","143591","pfpve9os644","camel","","{""participant_id"":""camel""}","","",""
"","null","html-keyboard-response","3","2.0.0","145595","pfpve9os644","camel","<h3>List 1 </h3>","null","","",""
"","null","html-keyboard-response","4","2.0.0","146597","pfpve9os644","camel","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","5","2.0.0","148100","pfpve9os644","camel","<p>hatred</p>","null","","",""
"","null","html-keyboard-response","6","2.0.0","149102","pfpve9os644","camel","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","7","2.0.0","150603","pfpve9os644","camel","<p>fight</p>","null","","",""
"","null","html-keyboard-response","8","2.0.0","151605","pfpve9os644","camel","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","9","2.0.0","153107","pfpve9os644","camel","<p>mad</p>","null","","",""
"","null","html-keyboard-response","10","2.0.0","154109","pfpve9os644","camel","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","11","2.0.0","155611","pfpve9os644","camel","<p>hate</p>","null","","",""
"","null","html-keyboard-response","12","2.0.0","156613","pfpve9os644","camel","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","13","2.0.0","158116","pfpve9os644","camel","<p>happy</p>","null","","",""
"","null","html-keyboard-response","14","2.0.0","159116","pfpve9os644","camel","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","15","2.0.0","160617","pfpve9os644","camel","<p>wrath</p>","null","","",""
"","null","html-keyboard-response","16","2.0.0","161618","pfpve9os644","camel","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","17","2.0.0","163118","pfpve9os644","camel","<p>mean</p>","null","","",""
"","null","html-keyboard-response","18","2.0.0","164120","pfpve9os644","camel","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","19","2.0.0","165621","pfpve9os644","camel","<p>temper</p>","null","","",""
"","null","html-keyboard-response","20","2.0.0","166622","pfpve9os644","camel","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","21","2.0.0","168123","pfpve9os644","camel","<p>fury</p>","null","","",""
"","null","html-keyboard-response","22","2.0.0","169123","pfpve9os644","camel","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","23","2.0.0","170625","pfpve9os644","camel","<p>ire</p>","null","","",""
"","null","html-keyboard-response","24","2.0.0","171627","pfpve9os644","camel","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","25","2.0.0","173128","pfpve9os644","camel","<p>rage</p>","null","","",""
"","null","html-keyboard-response","26","2.0.0","174129","pfpve9os644","camel","<div style=""font-size:60px;"">+</div>","null","","",""
