"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","word","type","question_order"
"true","2288","fullscreen","0","null","3312","pfv4lc5tqk3","Beaver","","","","",""
"","80061","html-keyboard-response","1","2.0.0","83377","pfv4lc5tqk3","Beaver","Welcome to the Fasle Recall Experiment.<p>You will see and listen to 6 lists of 12-words one at a time. Try to remember as many as you can.</p><p>After the list, you’ll be asked to complete a recognition test.</p><p>Press any key to begin.</p>"," ","","",""
"","6001","survey-text","2","2.0.0","89387","pfv4lc5tqk3","Beaver","","{""participant_id"":""Beaver""}","","",""
"","null","html-keyboard-response","3","2.0.0","91399","pfv4lc5tqk3","Beaver","<h3>List 1 </h3>","null","","",""
"","null","html-keyboard-response","4","2.0.0","92402","pfv4lc5tqk3","Beaver","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","5","2.0.0","93912","pfv4lc5tqk3","Beaver","<p>legs</p>","null","","",""
"","null","html-keyboard-response","6","2.0.0","94926","pfv4lc5tqk3","Beaver","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","7","2.0.0","96430","pfv4lc5tqk3","Beaver","<p>stool</p>","null","","",""
"","null","html-keyboard-response","8","2.0.0","97440","pfv4lc5tqk3","Beaver","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","9","2.0.0","98950","pfv4lc5tqk3","Beaver","<p>swivel</p>","null","","",""
"","null","html-keyboard-response","10","2.0.0","99961","pfv4lc5tqk3","Beaver","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","11","2.0.0","101464","pfv4lc5tqk3","Beaver","<p>cushion</p>","null","","",""
"","null","html-keyboard-response","12","2.0.0","102475","pfv4lc5tqk3","Beaver","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","13","2.0.0","103984","pfv4lc5tqk3","Beaver","<p>wood</p>","null","","",""
"","null","html-keyboard-response","14","2.0.0","104990","pfv4lc5tqk3","Beaver","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","15","2.0.0","106500","pfv4lc5tqk3","Beaver","<p>table</p>","null","","",""
"","null","html-keyboard-response","16","2.0.0","107505","pfv4lc5tqk3","Beaver","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","17","2.0.0","109013","pfv4lc5tqk3","Beaver","<p>recliner</p>","null","","",""
"","null","html-keyboard-response","18","2.0.0","110027","pfv4lc5tqk3","Beaver","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","19","2.0.0","111535","pfv4lc5tqk3","Beaver","<p>sit</p>","null","","",""
"","null","html-keyboard-response","20","2.0.0","112542","pfv4lc5tqk3","Beaver","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","21","2.0.0","114045","pfv4lc5tqk3","Beaver","<p>seat</p>","null","","",""
"","null","html-keyboard-response","22","2.0.0","115054","pfv4lc5tqk3","Beaver","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","23","2.0.0","116565","pfv4lc5tqk3","Beaver","<p>sofa</p>","null","","",""
