"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","word","type","question_order"
"true","2429","fullscreen","0","null","3441","pjho8qfughu","otter","","","","",""
"","21843","html-keyboard-response","1","2.0.0","25288","pjho8qfughu","otter","Welcome to the Fasle Recall Experiment.<p>You will see and listen to 6 lists of 12-words one at a time. Try to remember as many as you can.</p><p>After the list, you’ll be asked to complete a recognition test.</p><p>Press any key to begin.</p>","h","","",""
"","5005","survey-text","2","2.0.0","30313","pjho8qfughu","otter","","{""participant_id"":""otter""}","","",""
"","null","html-keyboard-response","3","2.0.0","32315","pjho8qfughu","otter","<h3>List 1 </h3>","null","","",""
"","null","html-keyboard-response","4","2.0.0","33318","pjho8qfughu","otter","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","5","2.0.0","34820","pjho8qfughu","otter","<p>winter</p>","null","","",""
"","null","html-keyboard-response","6","2.0.0","35823","pjho8qfughu","otter","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","7","2.0.0","37326","pjho8qfughu","otter","<p>weather</p>","null","","",""
"","null","html-keyboard-response","8","2.0.0","38329","pjho8qfughu","otter","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","9","2.0.0","39833","pjho8qfughu","otter","<p>warm</p>","null","","",""
"","null","html-keyboard-response","10","2.0.0","40837","pjho8qfughu","otter","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","11","2.0.0","42340","pjho8qfughu","otter","<p>chilly</p>","null","","",""
"","null","html-keyboard-response","12","2.0.0","43343","pjho8qfughu","otter","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","13","2.0.0","44847","pjho8qfughu","otter","<p>frigid</p>","null","","",""
"","null","html-keyboard-response","14","2.0.0","45850","pjho8qfughu","otter","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","15","2.0.0","47352","pjho8qfughu","otter","<p>air</p>","null","","",""
"","null","html-keyboard-response","16","2.0.0","48356","pjho8qfughu","otter","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","17","2.0.0","49859","pjho8qfughu","otter","<p>freeze</p>","null","","",""
"","null","html-keyboard-response","18","2.0.0","50863","pjho8qfughu","otter","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","19","2.0.0","52366","pjho8qfughu","otter","<p>wet</p>","null","","",""
"","null","html-keyboard-response","20","2.0.0","53369","pjho8qfughu","otter","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","21","2.0.0","54873","pjho8qfughu","otter","<p>ice</p>","null","","",""
