"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","word","type","question_order"
"true","5061","fullscreen","0","null","6069","pkla5o2651l","heron","","","","",""
"","33582","html-keyboard-response","1","2.0.0","39652","pkla5o2651l","heron","Welcome to the Fasle Recall Experiment.<p>You will see and listen to 6 lists of 12-words one at a time. Try to remember as many as you can.</p><p>After the list, you’ll be asked to complete a recognition test.</p><p>Press any key to begin.</p>"," ","","",""
"","3845","survey-text","2","2.0.0","43499","pkla5o2651l","heron","","{""participant_id"":""heron""}","","",""
"","null","html-keyboard-response","3","2.0.0","45515","pkla5o2651l","heron","<h3>List 1 </h3>","null","","",""
"","null","html-keyboard-response","4","2.0.0","46529","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","5","2.0.0","48035","pkla5o2651l","heron","<p>mad</p>","null","","",""
"","null","html-keyboard-response","6","2.0.0","49045","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","7","2.0.0","50554","pkla5o2651l","heron","<p>rage</p>","null","","",""
"","null","html-keyboard-response","8","2.0.0","51570","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","9","2.0.0","53085","pkla5o2651l","heron","<p>hate</p>","null","","",""
"","null","html-keyboard-response","10","2.0.0","54086","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","11","2.0.0","55587","pkla5o2651l","heron","<p>fear</p>","null","","",""
"","null","html-keyboard-response","12","2.0.0","56589","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","13","2.0.0","58105","pkla5o2651l","heron","<p>fight</p>","null","","",""
"","null","html-keyboard-response","14","2.0.0","59119","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","15","2.0.0","60621","pkla5o2651l","heron","<p>mean</p>","null","","",""
"","null","html-keyboard-response","16","2.0.0","61630","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","17","2.0.0","63131","pkla5o2651l","heron","<p>happy</p>","null","","",""
"","null","html-keyboard-response","18","2.0.0","64133","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","19","2.0.0","65646","pkla5o2651l","heron","<p>temper</p>","null","","",""
"","null","html-keyboard-response","20","2.0.0","66662","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","21","2.0.0","68175","pkla5o2651l","heron","<p>fury</p>","null","","",""
"","null","html-keyboard-response","22","2.0.0","69189","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","23","2.0.0","70698","pkla5o2651l","heron","<p>ire</p>","null","","",""
"","null","html-keyboard-response","24","2.0.0","71702","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","25","2.0.0","73215","pkla5o2651l","heron","<p>wrath</p>","null","","",""
"","null","html-keyboard-response","26","2.0.0","74230","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","27","2.0.0","75741","pkla5o2651l","heron","<p>hatred</p>","null","","",""
"","null","html-keyboard-response","28","2.0.0","77753","pkla5o2651l","heron","<h3>List 2 </h3>","null","","",""
"","null","html-keyboard-response","29","2.0.0","78768","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","30","2.0.0","80281","pkla5o2651l","heron","<p>health</p>","null","","",""
"","null","html-keyboard-response","31","2.0.0","81283","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","32","2.0.0","82792","pkla5o2651l","heron","<p>hospital</p>","null","","",""
"","null","html-keyboard-response","33","2.0.0","83808","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","34","2.0.0","85323","pkla5o2651l","heron","<p>sick</p>","null","","",""
"","null","html-keyboard-response","35","2.0.0","86328","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","36","2.0.0","87843","pkla5o2651l","heron","<p>nurse</p>","null","","",""
"","null","html-keyboard-response","37","2.0.0","88845","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","38","2.0.0","90358","pkla5o2651l","heron","<p>medicine</p>","null","","",""
"","null","html-keyboard-response","39","2.0.0","91372","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","40","2.0.0","92887","pkla5o2651l","heron","<p>dentist</p>","null","","",""
"","null","html-keyboard-response","41","2.0.0","93890","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","42","2.0.0","95405","pkla5o2651l","heron","<p>lawyer</p>","null","","",""
"","null","html-keyboard-response","43","2.0.0","96420","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","44","2.0.0","97933","pkla5o2651l","heron","<p>physician</p>","null","","",""
"","null","html-keyboard-response","45","2.0.0","98937","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","46","2.0.0","100449","pkla5o2651l","heron","<p>office</p>","null","","",""
"","null","html-keyboard-response","47","2.0.0","101452","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","48","2.0.0","102964","pkla5o2651l","heron","<p>ill</p>","null","","",""
"","null","html-keyboard-response","49","2.0.0","103968","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","50","2.0.0","105484","pkla5o2651l","heron","<p>patient</p>","null","","",""
"","null","html-keyboard-response","51","2.0.0","106497","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","52","2.0.0","108008","pkla5o2651l","heron","<p>stethoscope</p>","null","","",""
"","null","html-keyboard-response","53","2.0.0","110010","pkla5o2651l","heron","<h3>List 3 </h3>","null","","",""
"","null","html-keyboard-response","54","2.0.0","111017","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","55","2.0.0","112529","pkla5o2651l","heron","<p>blue</p>","null","","",""
"","null","html-keyboard-response","56","2.0.0","113536","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","57","2.0.0","115047","pkla5o2651l","heron","<p>funeral</p>","null","","",""
"","null","html-keyboard-response","58","2.0.0","116054","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","59","2.0.0","117568","pkla5o2651l","heron","<p>charred</p>","null","","",""
"","null","html-keyboard-response","60","2.0.0","118584","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","61","2.0.0","120095","pkla5o2651l","heron","<p>color</p>","null","","",""
"","null","html-keyboard-response","62","2.0.0","121107","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","63","2.0.0","122610","pkla5o2651l","heron","<p>white</p>","null","","",""
"","null","html-keyboard-response","64","2.0.0","123624","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","65","2.0.0","125140","pkla5o2651l","heron","<p>death</p>","null","","",""
"","null","html-keyboard-response","66","2.0.0","126155","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","67","2.0.0","127668","pkla5o2651l","heron","<p>night</p>","null","","",""
"","null","html-keyboard-response","68","2.0.0","128670","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","69","2.0.0","130176","pkla5o2651l","heron","<p>ink</p>","null","","",""
"","null","html-keyboard-response","70","2.0.0","131178","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","71","2.0.0","132688","pkla5o2651l","heron","<p>grief</p>","null","","",""
"","null","html-keyboard-response","72","2.0.0","133701","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","73","2.0.0","135218","pkla5o2651l","heron","<p>bottom</p>","null","","",""
"","null","html-keyboard-response","74","2.0.0","136233","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","75","2.0.0","137744","pkla5o2651l","heron","<p>dark</p>","null","","",""
"","null","html-keyboard-response","76","2.0.0","138748","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","77","2.0.0","140261","pkla5o2651l","heron","<p>cat</p>","null","","",""
"","null","html-keyboard-response","78","2.0.0","142277","pkla5o2651l","heron","<h3>List 4 </h3>","null","","",""
"","null","html-keyboard-response","79","2.0.0","143280","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","80","2.0.0","144791","pkla5o2651l","heron","<p>sandwich</p>","null","","",""
"","null","html-keyboard-response","81","2.0.0","145806","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","82","2.0.0","147314","pkla5o2651l","heron","<p>eat</p>","null","","",""
"","null","html-keyboard-response","83","2.0.0","148316","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","84","2.0.0","149827","pkla5o2651l","heron","<p>dough</p>","null","","",""
"","null","html-keyboard-response","85","2.0.0","150833","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","86","2.0.0","152347","pkla5o2651l","heron","<p>food</p>","null","","",""
"","null","html-keyboard-response","87","2.0.0","153351","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","88","2.0.0","154853","pkla5o2651l","heron","<p>jelly</p>","null","","",""
"","null","html-keyboard-response","89","2.0.0","155870","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","90","2.0.0","157384","pkla5o2651l","heron","<p>milk</p>","null","","",""
"","null","html-keyboard-response","91","2.0.0","158397","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","92","2.0.0","159898","pkla5o2651l","heron","<p>crust</p>","null","","",""
"","null","html-keyboard-response","93","2.0.0","160913","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","94","2.0.0","162421","pkla5o2651l","heron","<p>slice</p>","null","","",""
"","null","html-keyboard-response","95","2.0.0","163436","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","96","2.0.0","164948","pkla5o2651l","heron","<p>butter</p>","null","","",""
"","null","html-keyboard-response","97","2.0.0","165962","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","98","2.0.0","167471","pkla5o2651l","heron","<p>rye</p>","null","","",""
"","null","html-keyboard-response","99","2.0.0","168474","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","100","2.0.0","169988","pkla5o2651l","heron","<p>flour</p>","null","","",""
"","null","html-keyboard-response","101","2.0.0","171002","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","102","2.0.0","172513","pkla5o2651l","heron","<p>jam</p>","null","","",""
"","null","html-keyboard-response","103","2.0.0","174519","pkla5o2651l","heron","<h3>List 5 </h3>","null","","",""
"","null","html-keyboard-response","104","2.0.0","175529","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","105","2.0.0","177042","pkla5o2651l","heron","<p>warm</p>","null","","",""
"","null","html-keyboard-response","106","2.0.0","178045","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","107","2.0.0","179559","pkla5o2651l","heron","<p>wet</p>","null","","",""
"","null","html-keyboard-response","108","2.0.0","180560","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","109","2.0.0","182074","pkla5o2651l","heron","<p>heat</p>","null","","",""
"","null","html-keyboard-response","110","2.0.0","183089","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","111","2.0.0","184601","pkla5o2651l","heron","<p>frigid</p>","null","","",""
"","null","html-keyboard-response","112","2.0.0","185608","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","113","2.0.0","187120","pkla5o2651l","heron","<p>freeze</p>","null","","",""
"","null","html-keyboard-response","114","2.0.0","188135","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","115","2.0.0","189650","pkla5o2651l","heron","<p>ice</p>","null","","",""
"","null","html-keyboard-response","116","2.0.0","190665","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","117","2.0.0","192180","pkla5o2651l","heron","<p>winter</p>","null","","",""
"","null","html-keyboard-response","118","2.0.0","193183","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","119","2.0.0","194696","pkla5o2651l","heron","<p>weather</p>","null","","",""
"","null","html-keyboard-response","120","2.0.0","195711","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","121","2.0.0","197212","pkla5o2651l","heron","<p>air</p>","null","","",""
"","null","html-keyboard-response","122","2.0.0","198229","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","123","2.0.0","199737","pkla5o2651l","heron","<p>snow</p>","null","","",""
"","null","html-keyboard-response","124","2.0.0","200738","pkla5o2651l","heron","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","125","2.0.0","202248","pkla5o2651l","heron","<p>chilly</p>","null","","",""
