"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","word","type","question_order"
"true","1032","fullscreen","0","null","2052","plkwbuls7z8","axolotl","","","","",""
"","2742","html-keyboard-response","1","2.0.0","4796","plkwbuls7z8","axolotl","Welcome to the Fasle Recall Experiment.<p>You will see and listen to 6 lists of 12-words one at a time. Try to remember as many as you can.</p><p>After the list, you’ll be asked to complete a recognition test.</p><p>Press any key to begin.</p>","AudioVolumeDown","","",""
"","4149","survey-text","2","2.0.0","8948","plkwbuls7z8","axolotl","","{""participant_id"":""axolotl""}","","",""
"","null","html-keyboard-response","3","2.0.0","10950","plkwbuls7z8","axolotl","<h3>List 1 </h3>","null","","",""
"","null","html-keyboard-response","4","2.0.0","11956","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","5","2.0.0","13468","plkwbuls7z8","axolotl","<p>wet</p>","null","","",""
"","null","html-keyboard-response","6","2.0.0","14470","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","7","2.0.0","15986","plkwbuls7z8","axolotl","<p>chilly</p>","null","","",""
"","null","html-keyboard-response","8","2.0.0","16996","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","9","2.0.0","18498","plkwbuls7z8","axolotl","<p>heat</p>","null","","",""
"","null","html-keyboard-response","10","2.0.0","19500","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","11","2.0.0","21003","plkwbuls7z8","axolotl","<p>air</p>","null","","",""
"","null","html-keyboard-response","12","2.0.0","22015","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","13","2.0.0","23529","plkwbuls7z8","axolotl","<p>frigid</p>","null","","",""
"","null","html-keyboard-response","14","2.0.0","24546","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","15","2.0.0","26056","plkwbuls7z8","axolotl","<p>ice</p>","null","","",""
"","null","html-keyboard-response","16","2.0.0","27060","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","17","2.0.0","28570","plkwbuls7z8","axolotl","<p>warm</p>","null","","",""
"","null","html-keyboard-response","18","2.0.0","29574","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","19","2.0.0","31084","plkwbuls7z8","axolotl","<p>winter</p>","null","","",""
"","null","html-keyboard-response","20","2.0.0","32092","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","21","2.0.0","33602","plkwbuls7z8","axolotl","<p>freeze</p>","null","","",""
"","null","html-keyboard-response","22","2.0.0","34605","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","23","2.0.0","36107","plkwbuls7z8","axolotl","<p>hot</p>","null","","",""
"","null","html-keyboard-response","24","2.0.0","37116","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","25","2.0.0","38629","plkwbuls7z8","axolotl","<p>snow</p>","null","","",""
"","null","html-keyboard-response","26","2.0.0","39634","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","27","2.0.0","41147","plkwbuls7z8","axolotl","<p>weather</p>","null","","",""
"","null","html-keyboard-response","28","2.0.0","43163","plkwbuls7z8","axolotl","<h3>List 2 </h3>","null","","",""
"","null","html-keyboard-response","29","2.0.0","44169","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","30","2.0.0","45682","plkwbuls7z8","axolotl","<p>cushion</p>","null","","",""
"","null","html-keyboard-response","31","2.0.0","46695","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","32","2.0.0","48206","plkwbuls7z8","axolotl","<p>recliner</p>","null","","",""
"","null","html-keyboard-response","33","2.0.0","49209","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","34","2.0.0","50724","plkwbuls7z8","axolotl","<p>seat</p>","null","","",""
"","null","html-keyboard-response","35","2.0.0","51740","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","36","2.0.0","53251","plkwbuls7z8","axolotl","<p>stool</p>","null","","",""
"","null","html-keyboard-response","37","2.0.0","54260","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","38","2.0.0","55765","plkwbuls7z8","axolotl","<p>legs</p>","null","","",""
"","null","html-keyboard-response","39","2.0.0","56780","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","40","2.0.0","58291","plkwbuls7z8","axolotl","<p>sofa</p>","null","","",""
"","null","html-keyboard-response","41","2.0.0","59299","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","42","2.0.0","60801","plkwbuls7z8","axolotl","<p>desk</p>","null","","",""
"","null","html-keyboard-response","43","2.0.0","61812","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","44","2.0.0","63323","plkwbuls7z8","axolotl","<p>sit</p>","null","","",""
"","null","html-keyboard-response","45","2.0.0","64339","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","46","2.0.0","65850","plkwbuls7z8","axolotl","<p>swivel</p>","null","","",""
"","null","html-keyboard-response","47","2.0.0","66867","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","48","2.0.0","68378","plkwbuls7z8","axolotl","<p>table</p>","null","","",""
"","null","html-keyboard-response","49","2.0.0","69386","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","50","2.0.0","70889","plkwbuls7z8","axolotl","<p>couch</p>","null","","",""
"","null","html-keyboard-response","51","2.0.0","71903","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","52","2.0.0","73412","plkwbuls7z8","axolotl","<p>wood</p>","null","","",""
"","null","html-keyboard-response","53","2.0.0","75414","plkwbuls7z8","axolotl","<h3>List 3 </h3>","null","","",""
"","null","html-keyboard-response","54","2.0.0","76416","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","55","2.0.0","77920","plkwbuls7z8","axolotl","<p>food</p>","null","","",""
"","null","html-keyboard-response","56","2.0.0","78923","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","57","2.0.0","80431","plkwbuls7z8","axolotl","<p>eat</p>","null","","",""
"","null","html-keyboard-response","58","2.0.0","81438","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","59","2.0.0","82948","plkwbuls7z8","axolotl","<p>dough</p>","null","","",""
"","null","html-keyboard-response","60","2.0.0","83955","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","61","2.0.0","85466","plkwbuls7z8","axolotl","<p>rye</p>","null","","",""
"","null","html-keyboard-response","62","2.0.0","86474","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","63","2.0.0","87978","plkwbuls7z8","axolotl","<p>slice</p>","null","","",""
"","null","html-keyboard-response","64","2.0.0","88985","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","65","2.0.0","90487","plkwbuls7z8","axolotl","<p>sandwich</p>","null","","",""
"","null","html-keyboard-response","66","2.0.0","91490","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","67","2.0.0","92993","plkwbuls7z8","axolotl","<p>jelly</p>","null","","",""
"","null","html-keyboard-response","68","2.0.0","93997","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","69","2.0.0","95499","plkwbuls7z8","axolotl","<p>crust</p>","null","","",""
"","null","html-keyboard-response","70","2.0.0","96505","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","71","2.0.0","98010","plkwbuls7z8","axolotl","<p>jam</p>","null","","",""
"","null","html-keyboard-response","72","2.0.0","99017","plkwbuls7z8","axolotl","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","73","2.0.0","100519","plkwbuls7z8","axolotl","<p>butter</p>","null","","",""
