"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","word","type","question_order"
"true","1530","fullscreen","0","null","2534","pt4obze7rco","antelope","","","","",""
"","6480","html-keyboard-response","1","2.0.0","9014","pt4obze7rco","antelope","Welcome to the Fasle Recall Experiment.<p>You will see and listen to 6 lists of 12-words one at a time. Try to remember as many as you can.</p><p>After the list, you’ll be asked to complete a recognition test.</p><p>Press any key to begin.</p>","c","","",""
"","3730","survey-text","2","2.0.0","12746","pt4obze7rco","antelope","","{""participant_id"":""antelope""}","","",""
"","null","html-keyboard-response","3","2.0.0","14749","pt4obze7rco","antelope","<h3>List 1 </h3>","null","","",""
"","null","html-keyboard-response","4","2.0.0","15763","pt4obze7rco","antelope","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","5","2.0.0","17763","pt4obze7rco","antelope","<p>physician</p>","null","","",""
"","null","html-keyboard-response","6","2.0.0","18764","pt4obze7rco","antelope","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","7","2.0.0","20267","pt4obze7rco","antelope","<p>health</p>","null","","",""
"","null","html-keyboard-response","8","2.0.0","21269","pt4obze7rco","antelope","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","9","2.0.0","22772","pt4obze7rco","antelope","<p>hospital</p>","null","","",""
"","null","html-keyboard-response","10","2.0.0","23774","pt4obze7rco","antelope","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","11","2.0.0","25277","pt4obze7rco","antelope","<p>sick</p>","null","","",""
"","null","html-keyboard-response","12","2.0.0","26280","pt4obze7rco","antelope","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","13","2.0.0","27782","pt4obze7rco","antelope","<p>nurse</p>","null","","",""
"","null","html-keyboard-response","14","2.0.0","28784","pt4obze7rco","antelope","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","15","2.0.0","30287","pt4obze7rco","antelope","<p>dentist</p>","null","","",""
"","null","html-keyboard-response","16","2.0.0","31291","pt4obze7rco","antelope","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","17","2.0.0","32792","pt4obze7rco","antelope","<p>ill</p>","null","","",""
"","null","html-keyboard-response","18","2.0.0","33795","pt4obze7rco","antelope","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","19","2.0.0","35298","pt4obze7rco","antelope","<p>lawyer</p>","null","","",""
"","null","html-keyboard-response","20","2.0.0","36300","pt4obze7rco","antelope","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","21","2.0.0","37802","pt4obze7rco","antelope","<p>patient</p>","null","","",""
"","null","html-keyboard-response","22","2.0.0","38805","pt4obze7rco","antelope","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","23","2.0.0","40308","pt4obze7rco","antelope","<p>office</p>","null","","",""
"","null","html-keyboard-response","24","2.0.0","41310","pt4obze7rco","antelope","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","25","2.0.0","42813","pt4obze7rco","antelope","<p>medicine</p>","null","","",""
"","null","html-keyboard-response","26","2.0.0","43815","pt4obze7rco","antelope","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","27","2.0.0","45317","pt4obze7rco","antelope","<p>stethoscope</p>","null","","",""
"","null","html-keyboard-response","28","2.0.0","47320","pt4obze7rco","antelope","<h3>List 2 </h3>","null","","",""
"","null","html-keyboard-response","29","2.0.0","48323","pt4obze7rco","antelope","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","30","2.0.0","49825","pt4obze7rco","antelope","<p>temper</p>","null","","",""
"","null","html-keyboard-response","31","2.0.0","50827","pt4obze7rco","antelope","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","32","2.0.0","52330","pt4obze7rco","antelope","<p>hate</p>","null","","",""
"","null","html-keyboard-response","33","2.0.0","53333","pt4obze7rco","antelope","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","34","2.0.0","54835","pt4obze7rco","antelope","<p>ire</p>","null","","",""
"","null","html-keyboard-response","35","2.0.0","55838","pt4obze7rco","antelope","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","36","2.0.0","57340","pt4obze7rco","antelope","<p>mean</p>","null","","",""
"","null","html-keyboard-response","37","2.0.0","58342","pt4obze7rco","antelope","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","38","2.0.0","59845","pt4obze7rco","antelope","<p>mad</p>","null","","",""
"","null","html-keyboard-response","39","2.0.0","60847","pt4obze7rco","antelope","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","40","2.0.0","62350","pt4obze7rco","antelope","<p>fury</p>","null","","",""
"","null","html-keyboard-response","41","2.0.0","63353","pt4obze7rco","antelope","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","42","2.0.0","64855","pt4obze7rco","antelope","<p>wrath</p>","null","","",""
"","null","html-keyboard-response","43","2.0.0","65857","pt4obze7rco","antelope","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","44","2.0.0","67359","pt4obze7rco","antelope","<p>fight</p>","null","","",""
"","null","html-keyboard-response","45","2.0.0","68362","pt4obze7rco","antelope","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","46","2.0.0","69865","pt4obze7rco","antelope","<p>rage</p>","null","","",""
"","null","html-keyboard-response","47","2.0.0","70867","pt4obze7rco","antelope","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","48","2.0.0","72370","pt4obze7rco","antelope","<p>fear</p>","null","","",""
"","null","html-keyboard-response","49","2.0.0","73373","pt4obze7rco","antelope","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","50","2.0.0","74875","pt4obze7rco","antelope","<p>hatred</p>","null","","",""
"","null","html-keyboard-response","51","2.0.0","75878","pt4obze7rco","antelope","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","52","2.0.0","77379","pt4obze7rco","antelope","<p>happy</p>","null","","",""
"","null","html-keyboard-response","53","2.0.0","79381","pt4obze7rco","antelope","<h3>List 3 </h3>","null","","",""
