"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","word","type","question_order"
"true","5532","fullscreen","0","null","6537","ptbyvf27tog","falcon","","","","",""
"","36598","html-keyboard-response","1","2.0.0","43137","ptbyvf27tog","falcon","Welcome to the Fasle Recall Experiment.<p>You will see and listen to 6 lists of 12-words one at a time. Try to remember as many as you can.</p><p>After the list, you’ll be asked to complete a recognition test.</p><p>Press any key to begin.</p>"," ","","",""
"","10395","survey-text","2","2.0.0","53537","ptbyvf27tog","falcon","","{""participant_id"":""falcon""}","","",""
"","null","html-keyboard-response","3","2.0.0","55541","ptbyvf27tog","falcon","<h3>List 1 </h3>","null","","",""
"","null","html-keyboard-response","4","2.0.0","56544","ptbyvf27tog","falcon","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","5","2.0.0","58046","ptbyvf27tog","falcon","<p>snow</p>","null","","",""
"","null","html-keyboard-response","6","2.0.0","59049","ptbyvf27tog","falcon","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","7","2.0.0","60552","ptbyvf27tog","falcon","<p>air</p>","null","","",""
"","null","html-keyboard-response","8","2.0.0","61555","ptbyvf27tog","falcon","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","9","2.0.0","63057","ptbyvf27tog","falcon","<p>chilly</p>","null","","",""
"","null","html-keyboard-response","10","2.0.0","64060","ptbyvf27tog","falcon","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","11","2.0.0","65563","ptbyvf27tog","falcon","<p>warm</p>","null","","",""
"","null","html-keyboard-response","12","2.0.0","66566","ptbyvf27tog","falcon","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","13","2.0.0","68068","ptbyvf27tog","falcon","<p>winter</p>","null","","",""
"","null","html-keyboard-response","14","2.0.0","69071","ptbyvf27tog","falcon","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","15","2.0.0","70574","ptbyvf27tog","falcon","<p>ice</p>","null","","",""
"","null","html-keyboard-response","16","2.0.0","71577","ptbyvf27tog","falcon","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","17","2.0.0","73080","ptbyvf27tog","falcon","<p>hot</p>","null","","",""
"","null","html-keyboard-response","18","2.0.0","74083","ptbyvf27tog","falcon","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","19","2.0.0","75586","ptbyvf27tog","falcon","<p>frigid</p>","null","","",""
"","null","html-keyboard-response","20","2.0.0","76588","ptbyvf27tog","falcon","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","21","2.0.0","78091","ptbyvf27tog","falcon","<p>freeze</p>","null","","",""
"","null","html-keyboard-response","22","2.0.0","79093","ptbyvf27tog","falcon","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","23","2.0.0","80597","ptbyvf27tog","falcon","<p>heat</p>","null","","",""
"","null","html-keyboard-response","24","2.0.0","81600","ptbyvf27tog","falcon","<div style=""font-size:60px;"">+</div>","null","","",""
