"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","word","type","question_order"
"true","6762","fullscreen","0","null","7770","pucqcvz241h","badger","","","","",""
"","18615","html-keyboard-response","1","2.0.0","26390","pucqcvz241h","badger","Welcome to the Fasle Recall Experiment.<p>You will see and listen to 6 lists of 12-words one at a time. Try to remember as many as you can.</p><p>After the list, you’ll be asked to complete a recognition test.</p><p>Press any key to begin.</p>"," ","","",""
"","2751","survey-text","2","2.0.0","29145","pucqcvz241h","badger","","{""participant_id"":""badger""}","","",""
"","null","html-keyboard-response","3","2.0.0","31149","pucqcvz241h","badger","<h3>List 1 </h3>","null","","",""
"","null","html-keyboard-response","4","2.0.0","32151","pucqcvz241h","badger","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","5","2.0.0","33654","pucqcvz241h","badger","<p>temper</p>","null","","",""
"","null","html-keyboard-response","6","2.0.0","34657","pucqcvz241h","badger","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","7","2.0.0","36166","pucqcvz241h","badger","<p>hate</p>","null","","",""
"","null","html-keyboard-response","8","2.0.0","37169","pucqcvz241h","badger","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","9","2.0.0","38672","pucqcvz241h","badger","<p>happy</p>","null","","",""
"","null","html-keyboard-response","10","2.0.0","39674","pucqcvz241h","badger","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","11","2.0.0","41177","pucqcvz241h","badger","<p>rage</p>","null","","",""
"","null","html-keyboard-response","12","2.0.0","42186","pucqcvz241h","badger","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","13","2.0.0","43689","pucqcvz241h","badger","<p>fury</p>","null","","",""
"","null","html-keyboard-response","14","2.0.0","44692","pucqcvz241h","badger","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","15","2.0.0","46194","pucqcvz241h","badger","<p>wrath</p>","null","","",""
"","null","html-keyboard-response","16","2.0.0","47197","pucqcvz241h","badger","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","17","2.0.0","48699","pucqcvz241h","badger","<p>mean</p>","null","","",""
"","null","html-keyboard-response","18","2.0.0","49701","pucqcvz241h","badger","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","19","2.0.0","51203","pucqcvz241h","badger","<p>fight</p>","null","","",""
"","null","html-keyboard-response","20","2.0.0","52206","pucqcvz241h","badger","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","21","2.0.0","53710","pucqcvz241h","badger","<p>ire</p>","null","","",""
"","null","html-keyboard-response","22","2.0.0","54712","pucqcvz241h","badger","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","23","2.0.0","56214","pucqcvz241h","badger","<p>mad</p>","null","","",""
"","null","html-keyboard-response","24","2.0.0","57217","pucqcvz241h","badger","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","25","2.0.0","58719","pucqcvz241h","badger","<p>hatred</p>","null","","",""
"","null","html-keyboard-response","26","2.0.0","59721","pucqcvz241h","badger","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","27","2.0.0","61223","pucqcvz241h","badger","<p>fear</p>","null","","",""
"","null","html-keyboard-response","28","2.0.0","63226","pucqcvz241h","badger","<h3>List 2 </h3>","null","","",""
"","null","html-keyboard-response","29","2.0.0","64229","pucqcvz241h","badger","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","30","2.0.0","65732","pucqcvz241h","badger","<p>legs</p>","null","","",""
"","null","html-keyboard-response","31","2.0.0","66734","pucqcvz241h","badger","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","32","2.0.0","68239","pucqcvz241h","badger","<p>desk</p>","null","","",""
"","null","html-keyboard-response","33","2.0.0","69240","pucqcvz241h","badger","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","34","2.0.0","70743","pucqcvz241h","badger","<p>wood</p>","null","","",""
"","null","html-keyboard-response","35","2.0.0","71746","pucqcvz241h","badger","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","36","2.0.0","73249","pucqcvz241h","badger","<p>sofa</p>","null","","",""
"","null","html-keyboard-response","37","2.0.0","74252","pucqcvz241h","badger","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","38","2.0.0","75754","pucqcvz241h","badger","<p>table</p>","null","","",""
"","null","html-keyboard-response","39","2.0.0","76757","pucqcvz241h","badger","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","40","2.0.0","78259","pucqcvz241h","badger","<p>swivel</p>","null","","",""
"","null","html-keyboard-response","41","2.0.0","79262","pucqcvz241h","badger","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","42","2.0.0","80764","pucqcvz241h","badger","<p>seat</p>","null","","",""
"","null","html-keyboard-response","43","2.0.0","81767","pucqcvz241h","badger","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","44","2.0.0","83269","pucqcvz241h","badger","<p>stool</p>","null","","",""
"","null","html-keyboard-response","45","2.0.0","84271","pucqcvz241h","badger","<div style=""font-size:60px;"">+</div>","null","","",""
