"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","word","type","question_order"
"true","3363","fullscreen","0","null","4371","pum1brnt9an","cricket","","","","",""
"","32164","html-keyboard-response","1","2.0.0","36535","pum1brnt9an","cricket","Welcome to the Fasle Recall Experiment.<p>You will see and listen to 6 lists of 12-words one at a time. Try to remember as many as you can.</p><p>After the list, you’ll be asked to complete a recognition test.</p><p>Press any key to begin.</p>"," ","","",""
"","6148","survey-text","2","2.0.0","42686","pum1brnt9an","cricket","","{""participant_id"":""cricket""}","","",""
"","null","html-keyboard-response","3","2.0.0","44688","pum1brnt9an","cricket","<h3>List 1 </h3>","null","","",""
"","null","html-keyboard-response","4","2.0.0","45690","pum1brnt9an","cricket","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","5","2.0.0","47191","pum1brnt9an","cricket","<p>couch</p>","null","","",""
"","null","html-keyboard-response","6","2.0.0","48194","pum1brnt9an","cricket","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","7","2.0.0","49697","pum1brnt9an","cricket","<p>wood</p>","null","","",""
"","null","html-keyboard-response","8","2.0.0","50700","pum1brnt9an","cricket","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","9","2.0.0","52203","pum1brnt9an","cricket","<p>recliner</p>","null","","",""
"","null","html-keyboard-response","10","2.0.0","53205","pum1brnt9an","cricket","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","11","2.0.0","54707","pum1brnt9an","cricket","<p>table</p>","null","","",""
"","null","html-keyboard-response","12","2.0.0","55709","pum1brnt9an","cricket","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","13","2.0.0","57210","pum1brnt9an","cricket","<p>sofa</p>","null","","",""
"","null","html-keyboard-response","14","2.0.0","58213","pum1brnt9an","cricket","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","15","2.0.0","59715","pum1brnt9an","cricket","<p>cushion</p>","null","","",""
"","null","html-keyboard-response","16","2.0.0","60717","pum1brnt9an","cricket","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","17","2.0.0","62219","pum1brnt9an","cricket","<p>legs</p>","null","","",""
"","null","html-keyboard-response","18","2.0.0","63221","pum1brnt9an","cricket","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","19","2.0.0","64724","pum1brnt9an","cricket","<p>stool</p>","null","","",""
"","null","html-keyboard-response","20","2.0.0","65726","pum1brnt9an","cricket","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","21","2.0.0","67229","pum1brnt9an","cricket","<p>desk</p>","null","","",""
"","null","html-keyboard-response","22","2.0.0","68232","pum1brnt9an","cricket","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","23","2.0.0","69733","pum1brnt9an","cricket","<p>seat</p>","null","","",""
"","null","html-keyboard-response","24","2.0.0","70734","pum1brnt9an","cricket","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","25","2.0.0","72237","pum1brnt9an","cricket","<p>swivel</p>","null","","",""
"","null","html-keyboard-response","26","2.0.0","73239","pum1brnt9an","cricket","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","27","2.0.0","74741","pum1brnt9an","cricket","<p>sit</p>","null","","",""
"","null","html-keyboard-response","28","2.0.0","76743","pum1brnt9an","cricket","<h3>List 2 </h3>","null","","",""
"","null","html-keyboard-response","29","2.0.0","77744","pum1brnt9an","cricket","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","30","2.0.0","79246","pum1brnt9an","cricket","<p>dentist</p>","null","","",""
"","null","html-keyboard-response","31","2.0.0","80249","pum1brnt9an","cricket","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","32","2.0.0","81750","pum1brnt9an","cricket","<p>ill</p>","null","","",""
"","null","html-keyboard-response","33","2.0.0","82752","pum1brnt9an","cricket","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","34","2.0.0","84253","pum1brnt9an","cricket","<p>stethoscope</p>","null","","",""
"","null","html-keyboard-response","35","2.0.0","85255","pum1brnt9an","cricket","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","36","2.0.0","86757","pum1brnt9an","cricket","<p>sick</p>","null","","",""
"","null","html-keyboard-response","37","2.0.0","87759","pum1brnt9an","cricket","<div style=""font-size:60px;"">+</div>","null","","",""
