"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","word","type","question_order"
"true","2785","fullscreen","0","null","3788","px8hc4uvlye","panda","","","","",""
"","55895","html-keyboard-response","1","2.0.0","59684","px8hc4uvlye","panda","Welcome to the Fasle Recall Experiment.<p>You will see and listen to 6 lists of 12-words one at a time. Try to remember as many as you can.</p><p>After the list, you’ll be asked to complete a recognition test.</p><p>Press any key to begin.</p>","Enter","","",""
"","15201","survey-text","2","2.0.0","74896","px8hc4uvlye","panda","","{""participant_id"":""panda""}","","",""
"","null","html-keyboard-response","3","2.0.0","76899","px8hc4uvlye","panda","<h3>List 1 </h3>","null","","",""
"","null","html-keyboard-response","4","2.0.0","77904","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","5","2.0.0","79408","px8hc4uvlye","panda","<p>lawyer</p>","null","","",""
"","null","html-keyboard-response","6","2.0.0","80412","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","7","2.0.0","81916","px8hc4uvlye","panda","<p>health</p>","null","","",""
"","null","html-keyboard-response","8","2.0.0","82919","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","9","2.0.0","84423","px8hc4uvlye","panda","<p>sick</p>","null","","",""
"","null","html-keyboard-response","10","2.0.0","85426","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","11","2.0.0","86929","px8hc4uvlye","panda","<p>ill</p>","null","","",""
"","null","html-keyboard-response","12","2.0.0","87932","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","13","2.0.0","89437","px8hc4uvlye","panda","<p>dentist</p>","null","","",""
"","null","html-keyboard-response","14","2.0.0","90440","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","15","2.0.0","91943","px8hc4uvlye","panda","<p>hospital</p>","null","","",""
"","null","html-keyboard-response","16","2.0.0","92946","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","17","2.0.0","94449","px8hc4uvlye","panda","<p>office</p>","null","","",""
"","null","html-keyboard-response","18","2.0.0","95453","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","19","2.0.0","96957","px8hc4uvlye","panda","<p>physician</p>","null","","",""
"","null","html-keyboard-response","20","2.0.0","97959","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","21","2.0.0","99462","px8hc4uvlye","panda","<p>stethoscope</p>","null","","",""
"","null","html-keyboard-response","22","2.0.0","100466","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","23","2.0.0","101970","px8hc4uvlye","panda","<p>nurse</p>","null","","",""
"","null","html-keyboard-response","24","2.0.0","102973","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","25","2.0.0","104477","px8hc4uvlye","panda","<p>patient</p>","null","","",""
"","null","html-keyboard-response","26","2.0.0","105480","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","27","2.0.0","106983","px8hc4uvlye","panda","<p>medicine</p>","null","","",""
"","null","html-keyboard-response","28","2.0.0","108988","px8hc4uvlye","panda","<h3>List 2 </h3>","null","","",""
"","null","html-keyboard-response","29","2.0.0","109991","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","30","2.0.0","111494","px8hc4uvlye","panda","<p>milk</p>","null","","",""
"","null","html-keyboard-response","31","2.0.0","112497","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","32","2.0.0","114000","px8hc4uvlye","panda","<p>eat</p>","null","","",""
"","null","html-keyboard-response","33","2.0.0","115003","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","34","2.0.0","116506","px8hc4uvlye","panda","<p>jelly</p>","null","","",""
"","null","html-keyboard-response","35","2.0.0","117510","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","36","2.0.0","119013","px8hc4uvlye","panda","<p>dough</p>","null","","",""
"","null","html-keyboard-response","37","2.0.0","120016","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","38","2.0.0","121520","px8hc4uvlye","panda","<p>crust</p>","null","","",""
"","null","html-keyboard-response","39","2.0.0","122523","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","40","2.0.0","124026","px8hc4uvlye","panda","<p>jam</p>","null","","",""
"","null","html-keyboard-response","41","2.0.0","125028","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","42","2.0.0","126531","px8hc4uvlye","panda","<p>food</p>","null","","",""
"","null","html-keyboard-response","43","2.0.0","127534","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","44","2.0.0","129037","px8hc4uvlye","panda","<p>sandwich</p>","null","","",""
"","null","html-keyboard-response","45","2.0.0","130041","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","46","2.0.0","131543","px8hc4uvlye","panda","<p>flour</p>","null","","",""
"","null","html-keyboard-response","47","2.0.0","132546","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","48","2.0.0","134048","px8hc4uvlye","panda","<p>slice</p>","null","","",""
"","null","html-keyboard-response","49","2.0.0","135050","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","50","2.0.0","136553","px8hc4uvlye","panda","<p>butter</p>","null","","",""
"","null","html-keyboard-response","51","2.0.0","137556","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","52","2.0.0","139059","px8hc4uvlye","panda","<p>rye</p>","null","","",""
"","null","html-keyboard-response","53","2.0.0","141063","px8hc4uvlye","panda","<h3>List 3 </h3>","null","","",""
"","null","html-keyboard-response","54","2.0.0","142067","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","55","2.0.0","143571","px8hc4uvlye","panda","<p>heat</p>","null","","",""
"","null","html-keyboard-response","56","2.0.0","144575","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","57","2.0.0","146078","px8hc4uvlye","panda","<p>warm</p>","null","","",""
"","null","html-keyboard-response","58","2.0.0","147082","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","59","2.0.0","148585","px8hc4uvlye","panda","<p>freeze</p>","null","","",""
"","null","html-keyboard-response","60","2.0.0","149589","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","61","2.0.0","151094","px8hc4uvlye","panda","<p>frigid</p>","null","","",""
"","null","html-keyboard-response","62","2.0.0","152097","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","63","2.0.0","153600","px8hc4uvlye","panda","<p>hot</p>","null","","",""
"","null","html-keyboard-response","64","2.0.0","154602","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","65","2.0.0","156107","px8hc4uvlye","panda","<p>ice</p>","null","","",""
"","null","html-keyboard-response","66","2.0.0","157110","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","67","2.0.0","158613","px8hc4uvlye","panda","<p>winter</p>","null","","",""
"","null","html-keyboard-response","68","2.0.0","159617","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","69","2.0.0","161120","px8hc4uvlye","panda","<p>snow</p>","null","","",""
"","null","html-keyboard-response","70","2.0.0","162123","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","71","2.0.0","163626","px8hc4uvlye","panda","<p>air</p>","null","","",""
"","null","html-keyboard-response","72","2.0.0","164629","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","73","2.0.0","166132","px8hc4uvlye","panda","<p>chilly</p>","null","","",""
"","null","html-keyboard-response","74","2.0.0","167136","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","75","2.0.0","168639","px8hc4uvlye","panda","<p>wet</p>","null","","",""
"","null","html-keyboard-response","76","2.0.0","169643","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","77","2.0.0","171145","px8hc4uvlye","panda","<p>weather</p>","null","","",""
"","null","html-keyboard-response","78","2.0.0","173149","px8hc4uvlye","panda","<h3>List 4 </h3>","null","","",""
"","null","html-keyboard-response","79","2.0.0","174155","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","80","2.0.0","175659","px8hc4uvlye","panda","<p>happy</p>","null","","",""
"","null","html-keyboard-response","81","2.0.0","176661","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","82","2.0.0","178163","px8hc4uvlye","panda","<p>ire</p>","null","","",""
"","null","html-keyboard-response","83","2.0.0","179167","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","84","2.0.0","180670","px8hc4uvlye","panda","<p>wrath</p>","null","","",""
"","null","html-keyboard-response","85","2.0.0","181673","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","86","2.0.0","183175","px8hc4uvlye","panda","<p>fury</p>","null","","",""
"","null","html-keyboard-response","87","2.0.0","184179","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","88","2.0.0","185681","px8hc4uvlye","panda","<p>temper</p>","null","","",""
"","null","html-keyboard-response","89","2.0.0","186684","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","90","2.0.0","188187","px8hc4uvlye","panda","<p>fear</p>","null","","",""
"","null","html-keyboard-response","91","2.0.0","189191","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","92","2.0.0","190694","px8hc4uvlye","panda","<p>fight</p>","null","","",""
"","null","html-keyboard-response","93","2.0.0","191698","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","94","2.0.0","193200","px8hc4uvlye","panda","<p>mad</p>","null","","",""
"","null","html-keyboard-response","95","2.0.0","194204","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","96","2.0.0","195708","px8hc4uvlye","panda","<p>hate</p>","null","","",""
"","null","html-keyboard-response","97","2.0.0","196711","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","98","2.0.0","198213","px8hc4uvlye","panda","<p>rage</p>","null","","",""
"","null","html-keyboard-response","99","2.0.0","199220","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","100","2.0.0","200723","px8hc4uvlye","panda","<p>hatred</p>","null","","",""
"","null","html-keyboard-response","101","2.0.0","201726","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","102","2.0.0","203228","px8hc4uvlye","panda","<p>mean</p>","null","","",""
"","null","html-keyboard-response","103","2.0.0","205233","px8hc4uvlye","panda","<h3>List 5 </h3>","null","","",""
"","null","html-keyboard-response","104","2.0.0","206238","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","105","2.0.0","207741","px8hc4uvlye","panda","<p>funeral</p>","null","","",""
"","null","html-keyboard-response","106","2.0.0","208744","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","107","2.0.0","210246","px8hc4uvlye","panda","<p>blue</p>","null","","",""
"","null","html-keyboard-response","108","2.0.0","211248","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","109","2.0.0","212751","px8hc4uvlye","panda","<p>night</p>","null","","",""
"","null","html-keyboard-response","110","2.0.0","213754","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","111","2.0.0","215256","px8hc4uvlye","panda","<p>cat</p>","null","","",""
"","null","html-keyboard-response","112","2.0.0","216260","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","113","2.0.0","217763","px8hc4uvlye","panda","<p>charred</p>","null","","",""
"","null","html-keyboard-response","114","2.0.0","218767","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","115","2.0.0","220270","px8hc4uvlye","panda","<p>grief</p>","null","","",""
"","null","html-keyboard-response","116","2.0.0","221274","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","117","2.0.0","222777","px8hc4uvlye","panda","<p>death</p>","null","","",""
"","null","html-keyboard-response","118","2.0.0","223780","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","119","2.0.0","225284","px8hc4uvlye","panda","<p>bottom</p>","null","","",""
"","null","html-keyboard-response","120","2.0.0","226288","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","121","2.0.0","227791","px8hc4uvlye","panda","<p>ink</p>","null","","",""
"","null","html-keyboard-response","122","2.0.0","228795","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","123","2.0.0","230299","px8hc4uvlye","panda","<p>color</p>","null","","",""
"","null","html-keyboard-response","124","2.0.0","231302","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","125","2.0.0","232805","px8hc4uvlye","panda","<p>dark</p>","null","","",""
"","null","html-keyboard-response","126","2.0.0","233808","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","127","2.0.0","235312","px8hc4uvlye","panda","<p>white</p>","null","","",""
"","null","html-keyboard-response","128","2.0.0","237315","px8hc4uvlye","panda","<h3>List 6 </h3>","null","","",""
"","null","html-keyboard-response","129","2.0.0","238318","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","130","2.0.0","239822","px8hc4uvlye","panda","<p>wood</p>","null","","",""
"","null","html-keyboard-response","131","2.0.0","240825","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","132","2.0.0","242328","px8hc4uvlye","panda","<p>legs</p>","null","","",""
"","null","html-keyboard-response","133","2.0.0","243331","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","134","2.0.0","244834","px8hc4uvlye","panda","<p>sit</p>","null","","",""
"","null","html-keyboard-response","135","2.0.0","245838","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","136","2.0.0","247341","px8hc4uvlye","panda","<p>sofa</p>","null","","",""
"","null","html-keyboard-response","137","2.0.0","248344","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","138","2.0.0","249847","px8hc4uvlye","panda","<p>table</p>","null","","",""
"","null","html-keyboard-response","139","2.0.0","250851","px8hc4uvlye","panda","<div style=""font-size:60px;"">+</div>","null","","",""
"","null","html-keyboard-response","140","2.0.0","252354","px8hc4uvlye","panda","<p>couch</p>","null","","",""
